Series Name,Series Code,Country Name,Country Code,2010,2019
"Population, total",SP.POP.TOTL,Afghanistan,AFG,28189672,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2913021,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,35856344,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,54849,47321
"Population, total",SP.POP.TOTL,Andorra,AND,71519,76343
"Population, total",SP.POP.TOTL,Angola,AGO,23364185,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,85695,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2946293,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,100341,106442
"Population, total",SP.POP.TOTL,Australia,AUS,22031750,25340217
"Population, total",SP.POP.TOTL,Austria,AUT,8363404,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332,10024283
"Population, total",SP.POP.TOTL,Bahamas,BHS,373272,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1213645,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,148391139,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,274711,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9483836,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,10895586,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,322106,389095
"Population, total",SP.POP.TOTL,Benin,BEN,9445710,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,65124,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,705516,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,10223270,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3811088,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2091664,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,196353492,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27556,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,396053,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7395599,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,16116845,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,9126605,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,521212,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,14363532,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,19878036,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,34004889,37601230
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,54074,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4660067,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,11894727,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,156933,169410
"Population, total",SP.POP.TOTL,Chile,CHL,17004162,19039485
"Population, total",SP.POP.TOTL,China,CHN,1337705000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,44816108,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,656024,790986
"Population, total",SP.POP.TOTL,Democratic Republic of Congo,COD,66391257,89906890
"Population, total",SP.POP.TOTL,Congo,COG,4437884,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4622252,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,21120042,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4295427,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11290417,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,148703,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1129686,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10474410,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,919199,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,68755,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9775755,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,14989585,17343740
"Population, total",SP.POP.TOTL,Egypt,EGY,87252413,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6114034,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1094524,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3147727,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1331475,1326898
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1099920,1169613
"Population, total",SP.POP.TOTL,Ethiopia,ETH,89237791,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48410,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,905169,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5363352,5521606
"Population, total",SP.POP.TOTL,France,FRA,65030575,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,283788,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,1711105,2242785
"Population, total",SP.POP.TOTL,Gambia,GMB,1937275,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3786695,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81776930,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,25574719,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,31262,32685
"Population, total",SP.POP.TOTL,Greece,GRC,11121341,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56905,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,114039,122724
"Population, total",SP.POP.TOTL,Guam,GUM,164905,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,14259687,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,10270728,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1567220,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,747932,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,9842880,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,8450933,9958829
"Population, total",SP.POP.TOTL,Hong Kong,HKG,7024200,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,10000023,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,318041,360563
"Population, total",SP.POP.TOTL,India,IND,1240613620,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,244016173,269582878
"Population, total",SP.POP.TOTL,Iran,IRN,75373855,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,31264875,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4560155,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83828,83933
"Population, total",SP.POP.TOTL,Israel,ISR,7623600,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59277417,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2733896,2813773
"Population, total",SP.POP.TOTL,Japan,JPN,128070000,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,6931258,10698683
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16321872,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,41517895,50951450
"Population, total",SP.POP.TOTL,Kiribati,KIR,107995,124241
"Population, total",SP.POP.TOTL,North Korea,PRK,24686435,25755441
"Population, total",SP.POP.TOTL,South Korea,KOR,49554112,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1775680,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,2943356,4441100
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5447900,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6323418,7212053
"Population, total",SP.POP.TOTL,Latvia,LVA,2097555,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,4995800,5781907
"Population, total",SP.POP.TOTL,Lesotho,LSO,2022747,2225702
"Population, total",SP.POP.TOTL,Liberia,LBR,4019956,4985289
"Population, total",SP.POP.TOTL,Libya,LBY,6491988,6569088
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35926,38482
"Population, total",SP.POP.TOTL,Lithuania,LTU,3097282,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,506953,620001
"Population, total",SP.POP.TOTL,Macao,MAC,557297,663653
"Population, total",SP.POP.TOTL,Madagascar,MDG,21731053,27533134
"Population, total",SP.POP.TOTL,Malawi,MWI,14718422,18867337
"Population, total",SP.POP.TOTL,Malaysia,MYS,28717731,32804020
"Population, total",SP.POP.TOTL,Maldives,MDV,361575,504508
"Population, total",SP.POP.TOTL,Mali,MLI,15529181,20567424
"Population, total",SP.POP.TOTL,Malta,MLT,414508,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53416,44728
"Population, total",SP.POP.TOTL,Mauritania,MRT,3419461,4383849
"Population, total",SP.POP.TOTL,Mauritius,MUS,1250400,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,112532401,125085311
"Population, total",SP.POP.TOTL,Micronesia,FSM,107588,111379
"Population, total",SP.POP.TOTL,Moldova,MDA,2862354,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,33178,37034
"Population, total",SP.POP.TOTL,Mongolia,MNG,2702520,3232430
"Population, total",SP.POP.TOTL,Montenegro,MNE,619428,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,32464865,36304408
"Population, total",SP.POP.TOTL,Mozambique,MOZ,23073723,30285595
"Population, total",SP.POP.TOTL,Myanmar,MMR,49390988,53040212
"Population, total",SP.POP.TOTL,Namibia,NAM,2099271,2446644
"Population, total",SP.POP.TOTL,Nauru,NRU,10241,12132
"Population, total",SP.POP.TOTL,Nepal,NPL,27161567,28832496
"Population, total",SP.POP.TOTL,Netherlands,NLD,16615394,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,249750,271240
"Population, total",SP.POP.TOTL,New Zealand,NZL,4350700,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5855734,6663924
"Population, total",SP.POP.TOTL,Niger,NER,16647543,23443393
"Population, total",SP.POP.TOTL,Nigeria,NGA,160952853,203304492
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2055004,2076694
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,54087,49858
"Population, total",SP.POP.TOTL,Norway,NOR,4889252,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,2881914,4602768
"Population, total",SP.POP.TOTL,Pakistan,PAK,194454498,223293280
"Population, total",SP.POP.TOTL,Palau,PLW,18540,17916
"Population, total",SP.POP.TOTL,Panama,PAN,3623617,4232532
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7583269,9542486
"Population, total",SP.POP.TOTL,Paraguay,PRY,5768613,6530026
"Population, total",SP.POP.TOTL,Peru,PER,29229572,32824861
"Population, total",SP.POP.TOTL,Philippines,PHL,94636700,110380804
"Population, total",SP.POP.TOTL,Poland,POL,38042794,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10573100,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721525,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,1713504,2807235
"Population, total",SP.POP.TOTL,Romania,ROU,20246871,19371648
"Population, total",SP.POP.TOTL,Russia,RUS,142849468,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,10309031,12835028
"Population, total",SP.POP.TOTL,Samoa,WSM,194672,211905
"Population, total",SP.POP.TOTL,San Marino,SMR,31608,34178
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,182138,214599
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,29411929,35827362
"Population, total",SP.POP.TOTL,Senegal,SEN,12530121,16000781
"Population, total",SP.POP.TOTL,Serbia,SRB,7291436,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,89770,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6436698,8046828
"Population, total",SP.POP.TOTL,Singapore,SGP,5076732,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34056,41608
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5391428,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2048583,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,540394,674993
"Population, total",SP.POP.TOTL,Somalia,SOM,12026649,15981300
"Population, total",SP.POP.TOTL,South Africa,ZAF,51784921,58087055
"Population, total",SP.POP.TOTL,South Sudan,SSD,9714419,10447666
"Population, total",SP.POP.TOTL,Spain,ESP,46576897,47134837
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20668557,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47403,47712
"Population, total",SP.POP.TOTL,St. Lucia,LCA,170935,178583
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36458,33121
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109308,104924
"Population, total",SP.POP.TOTL,Sudan,SDN,33739933,43232093
"Population, total",SP.POP.TOTL,Suriname,SUR,546080,600301
"Population, total",SP.POP.TOTL,Sweden,SWE,9378126,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,7824909,8575280
"Population, total",SP.POP.TOTL,Syria,SYR,22337563,20098251
"Population, total",SP.POP.TOTL,Tajikistan,TJK,7621779,9337003
"Population, total",SP.POP.TOTL,Tanzania,TZA,45110527,59872579
"Population, total",SP.POP.TOTL,Thailand,THA,68270489,71307763
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1088486,1280438
"Population, total",SP.POP.TOTL,Togo,TGO,6571855,8243094
"Population, total",SP.POP.TOTL,Tonga,TON,107383,104951
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1410296,1519955
"Population, total",SP.POP.TOTL,Tunisia,TUN,10895063,12049314
"Population, total",SP.POP.TOTL,Turkiye,TUR,73195345,83481684
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5267970,6158420
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,29726,43080
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10550,10956
"Population, total",SP.POP.TOTL,Uganda,UGA,32341728,42949080
"Population, total",SP.POP.TOTL,Ukraine,UKR,45870741,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8481771,9211657
"Population, total",SP.POP.TOTL,United Kingdom,GBR,62766365,66836327
"Population, total",SP.POP.TOTL,United States,USA,309327143,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3352651,3428409
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,28562400,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,245453,304404
"Population, total",SP.POP.TOTL,Venezuela,VEN,28715022,28971683
"Population, total",SP.POP.TOTL,Viet Nam,VNM,87411012,95776716
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108357,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,3786161,4685306
"Population, total",SP.POP.TOTL,Yemen,YEM,24743946,31546691
"Population, total",SP.POP.TOTL,Zambia,ZMB,13792086,18380477
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,12839771,15354608
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,523459657,667242986
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,356337762,454306063
"Population, total",SP.POP.TOTL,Arab World,ARB,364427661,441467739
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7004428,7424102
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,104421447,102398537
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2946338808,3335463995
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2210203758,2353862257
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1969186913,2106391925
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1944510719,2080648616
"Population, total",SP.POP.TOTL,Euro area,EMU,336171621,342452734
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,889222824,921179725
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,379132241,399592320
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,441717333,460994696
"Population, total",SP.POP.TOTL,European Union,EUU,441552554,447367191
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,778717407,957785553
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,630953183,815100831
"Population, total",SP.POP.TOTL,High income,HIC,1180459116,1236715327
"Population, total",SP.POP.TOTL,IBRD only,IBD,4425837971,4833831131
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,5838773450,6554880543
"Population, total",SP.POP.TOTL,IDA blend,IDB,473204510,570633332
"Population, total",SP.POP.TOTL,IDA only,IDX,939730969,1150416080
"Population, total",SP.POP.TOTL,IDA total,IDA,1412935479,1721049412
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2182768187,2309491804
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,588873862,645295804
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,528978305,582701622
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,572674666,629515571
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,843512714,1048193552
"Population, total",SP.POP.TOTL,Low & middle income,LMY,5760864582,6476995208
"Population, total",SP.POP.TOTL,Low income,LIC,510897321,648755452
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2681991417,3075311775
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,397997557,473201775
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,343313330,405259403
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,339527169,400574097
"Population, total",SP.POP.TOTL,Middle income,MIC,5249967261,5828239756
"Population, total",SP.POP.TOTL,North America,NAC,343397156,365995094
"Population, total",SP.POP.TOTL,OECD members,OED,1291001492,1362922537
"Population, total",SP.POP.TOTL,Other small states,OSS,26565994,32005477
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2301401,2536070
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1075046427,1113310738
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,739525992,957503246
"Population, total",SP.POP.TOTL,Small states,SST,35871823,41965649
"Population, total",SP.POP.TOTL,South Asia,SAS,1660546144,1861598514
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1660546144,1861598514
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,879797419,1121549049
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,879707649,1121451424
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,879797419,1121549049
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2567975844,2752927981
"Population, total",SP.POP.TOTL,World,WLD,6970038720,7742682218
